Mês	Ano	Varejo_Sessões_Organicas	Varejo_Usuários	Varejo_Taxa_de_Engajamento	Varejo_Receita_Organica	Varejo_Impressões	Varejo_Posição	Varejo_Sessões_Totais	Varejo_Receita_Total	App_Usuários_Ativos_Organicos	App_Sessões_Organico	App_Receita_Organica	App_Transações_Organica	Farma_Sessões	Farma_Usuários	Farma_Engajamento	Farma_Receita	Farma_Impressões	Farma_Posição		App_Usuários_total	App_Sessões_total	App_Receita_total	App_Transações_total	
janeiro	2025	352.474	195.445	88,03%	R$ 3.366.847,54	7.048.922	17,7	1.918.314	R$ 14.749.173,54	72.942	265.757	R$ 2.488.252,25	3.432	133.430	91.585	67,61%	R$ 816.077,26	11.323.674	17		667.984	5.756.840	R$ 40.454.623,71		
fevereiro	2025	282.983	162.248	85,95%	R$ 2.779.1791	4.939.420	16,8	1.859.811	R$ 14.723.053,09	67.638	229.272	R$ 2.516.2091	3.697	136.310	76.056	73,24%	R$ 1.083.278,75	8.537.892	11,6		667.029	5.519.284	R$ 40.895.2483		
março	2025	312.008	177.128	86,30%	R$ 3.701.859,51	6.406.980	18,2	2.132.445	R$ 15.853.3986	66.507	228.196	R$ 2.505.821,01	3.281	161.918	87.369	707,00%	R$ 1.205.211,95	12.226.991	11,3		690.973	5.814.719	R$ 42.489.958,12		
abril	2025	314.368	174.899	85,92%	R$ 3.838.073,64	7.038.498	17,8	2.280.607	R$ 15.397.821,74	71.090	244.668	R$ 2.754.102,10	3.869	166.311	88.771	69,67%	R$ 1.365.589,05	12.648.052	18		713.952	6.119.393	R$ 47.075.824,48		
maio	2025	337.881	191.193	88,75%	R$ 4.194.945,29	8.187.924	18,5	2.421.431	R$ 16.634.785,03	76.864	283.678	R$ 3.441.931,96	4.464	109.717	71.518	57,95%	R$ 614.965,91	13.201.693	11,5		733.140	6.666.198	R$ 54.956.645,21		
junho	2025	300.798	182.024	86,93%	R$ 3.857.532,60	7.924.690	19,7	2.273.089	R$ 15.600.322,27	69.782	243.800	R$ 3.266.248,11	4.333	91.471	64.901	55,82%	R$ 409.038,14	12.434.324	11,9		698.119	5.910.967	R$ 54.442.781,16		
julho	2025	322.561	183.043	87,75%	R$ 3.930.839,21	10.056.565	17,4	2.270.001	R$ 18.235.001,06	68.569	247.700	R$ 3.438.835,63	4.446	100.469	68.429	53,56%	R$ 370.038,53	12.278.112	12,2		719.179	6.239.173	R$ 54.828.984,86		
agosto	2025	296.186	183.872	88,72%	R$ 4.503.074,65	15.254.030	16,2	2.229.931	R$ 20.615.751,05	68.045	244.943	R$ 3.395.752,41	4.690	90.237	62.406	54,47%	R$ 353.351,98	10.577.382	13,4		729.158	6.576.043	R$ 51.388.317,28		
setembro	2025	283.885	168.411	87,45%	R$ 4.970.306,50	15.735.746	12,4	1.997.826	R$ 22.133.496,95	77.207	262.358	R$ 4.308.389,60	5.954	82.642	57.613	55,61%	R$ 314.439,33	8.630.497	14		717.204	5.952.273	R$ 49.574.052,67		
outubro	2025	288.089	174.638	87,84%	R$ 4.720.6744	17.505.323	9,1	2.083.407	R$ 21.023.894,53	77.276	272.034	R$ 4.637.347,96	6.118	81.996	55.443	52,65%	R$ 285.6927	8.727.960	7,3		743.246	6.158.073	R$ 52.140.707,29		
novembro	2025	312.655	183.546	87,03%	R$ 7.076.578,56	20.407.939	9,1	2.540.435	R$ 32.653.665,91	85.419	293.206	R$ 5.451.415,83	6.686	70.736	48.204	53,51%	R$ 244.322,24	11.349.486	6,9		789.172	7.135.690	R$ 76.467.677,65		
dezembro	2025	277.001	171.219	85,24%	R$ 4.461.398,33	15.044.865	9,4	2.136.613	R$ 21.989.467,50	70.449	230.059	R$ 2.887.431,15	3.924	64.635	45.056	51,99%	R$ 235.873,44	11.603.197	7,1		779.157	6.215.792	R$ 47.474.494,44		
